,Source,URL,Sents_Leicht,Sents_Standard,sents_leicht,sents_standard
0,LS_mdr_gpt,https://www.mdr.de/nachrichten-leicht/leichte-sprache-sachsen-blaues-wunder-radweg-fahrrad-100.html,,,Das Blaue Wunder ist eine Brückein der Stadt Dresden.Dort sollte schon lange ein neuer Fahrrad-Weg gemacht werden.Das hat der Stadt-Rat vor 22 Jahren bestimmt.In der Mitte vom Monat Septembersollte es dann losgehen.Auf der Brücke sollten die Linien für den Fahrrad-Weg auf-gemalt werden.Aber dann wurde der neue Fahrrad-Weg doch nicht gemacht.Denn der Ober-Bürgermeister war dagegen.,"Die Stadt Dresden plant seit 22 Jahren einen neuen Fahrradweg auf der Brücke namens ""Das Blaue Wunder"" zu bauen. Ursprünglich sollte die Arbeit im September beginnen und die Fahrradwegmarkierungen auf der Brücke angebracht werden. Allerdings wurde das Projekt aufgrund des Widerstands des Oberbürgermeisters nicht umgesetzt."
1,LS_mdr_gpt,https://www.mdr.de/nachrichten-leicht/leichte-sprache-sachsen-blaues-wunder-radweg-fahrrad-100.html,,,Viele Menschen fanden das nicht gut.Sie haben eine Demo gemacht.Damit wollten sie zeigen:Ein Fahrrad-Weg auf der Brücke ist wichtig.Denn es gab immer wieder Unfälle auf der Brücke.Dabei wurden mehrere Fahrrad-Fahrer verletzt.,"Viele Menschen waren mit dieser Entscheidung nicht einverstanden und organisierten eine Demonstration, um auf die Bedeutung eines Fahrradwegs hinzuweisen. Auf der Brücke hatte es bereits zahlreiche Unfälle gegeben, bei denen Fahrradfahrer verletzt wurden."
2,LS_mdr_gpt,https://www.mdr.de/nachrichten-leicht/leichte-sprache-sachsen-blaues-wunder-radweg-fahrrad-100.html,,,Jetzt soll der Fahrrad-Weg doch gemacht werden.In der Mitte vom Monat Oktober wird der neue Fahrrad-Weg auf-gemalt.Er soll für 6 Monate bleiben.In dieser Zeit wird geprüft:Ob der Fahrrad-Weg ein Problem für die Auto-Fahrer ist.Zum Beispiel:Weil die Autos dann nicht mehr so schnell über die Brücke fahren können.Vielleicht wird der Fahrrad-Wegdann doch wieder weg-gemacht.,"Jetzt wurde beschlossen, dass der Fahrradweg doch gebaut wird. Die Arbeiten sollen im Oktober beginnen und der Fahrradweg wird vorerst für 6 Monate existieren. In dieser Zeit wird überprüft, ob der Fahrradweg die Autofahrer beeinträchtigt, beispielsweise in Bezug auf die Geschwindigkeit des Verkehrs auf der Brücke. Möglicherweise wird der Fahrradweg dann wieder entfernt."
3,LS_mdr_gpt,https://www.mdr.de/nachrichten-leicht/leichte-sprache-sachsen-blaues-wunder-radweg-fahrrad-100.html,,,"Der ADFC ist ein großer Fahrrad-Verein.Er hat mit den Menschen zusammen die Demo gemacht.Ein Sprecher von dem Verein hat gesagt:Wir freuen uns,dass der neue Fahrrad-Weg endlich gemacht wird.","Der ADFC, ein großer Fahrradverein, hat die Demonstration zusammen mit den Menschen organisiert. Ein Sprecher des Vereins freut sich nun darüber, dass der lang ersehnte Fahrradweg endlich gebaut wird."
4,LS_mdr_gpt,https://www.mdr.de/nachrichten-leicht/leichte-sprache-sachsen-thueringen-polizei-razzia-wohnungen-durchsucht-gefaelschte-papiere-100.html,,,Die Bundes-Polizei hat am Mittwoch12 Wohnungen durchsucht.Das war in den Bundes-Ländern Sachsen und Thüringen.Die Bundes-Polizei denkt:Die Menschen in den Wohnungen haben falsche Papiere.,"Am Mittwoch hat die Bundespolizei in Sachsen und Thüringen 12 Wohnungen durchsucht. Sie vermutet, dass die Bewohner gefälschte Papiere haben."
5,LS_mdr_gpt,https://www.mdr.de/nachrichten-leicht/leichte-sprache-sachsen-thueringen-polizei-razzia-wohnungen-durchsucht-gefaelschte-papiere-100.html,,,"Die Bundes-Polizeiund die Staats-Anwaltschaft aus der Stadt Leipzig sagen:Sie haben die Wohnungen von 1 Frauund 11 Männern durchsucht.Diese Menschen kommen aus den Ländern: • Afghanistan, • Georgien, • Irak, • Türkei und • Deutschland.","Die Durchsuchungen wurden von der Bundespolizei und der Staatsanwaltschaft Leipzig durchgeführt. Dabei wurden Wohnungen von einer Frau und elf Männern durchsucht. Diese Personen stammen aus Afghanistan, Georgien, dem Irak, der Türkei und Deutschland."
6,LS_mdr_gpt,https://www.mdr.de/nachrichten-leicht/leichte-sprache-sachsen-thueringen-polizei-razzia-wohnungen-durchsucht-gefaelschte-papiere-100.html,,,"Die Bundes-Polizei hat bei der Durchsuchungverschiedene falsche Papiere beschlag-nahmt. Zum Beispiel: • Reise-Pässe, • Visa, • Aufenthalts-Erlaubnisse und • Führer-Scheine.","Bei den Durchsuchungen wurden verschiedene gefälschte Papiere wie Reisepässe, Visa, Aufenthaltserlaubnisse und Führerscheine sichergestellt."
7,LS_mdr_gpt,https://www.mdr.de/nachrichten-leicht/leichte-sprache-sachsen-thueringen-polizei-razzia-wohnungen-durchsucht-gefaelschte-papiere-100.html,,,Und die Bundes-Polizei hat noch andere Sachen gesammelt.Damit will sie beweisen:Wo die falschen Papiere herkommen.,"Des Weiteren hat die Bundespolizei weitere Gegenstände gesammelt, um zu beweisen, woher die gefälschten Papiere stammen."
8,LS_mdr_gpt,https://www.mdr.de/nachrichten-leicht/leichte-sprache-sachsen-grossenhain-kleinflugzeug-absturz-lagerhalle-100.html,,,Großenhain ist eine Stadt im Bundes-Land Sachsen.Dort ist ein Unglücks-Fall passiert.,"In Großenhain, einer Stadt in Sachsen, hat sich ein Unglücksfall ereignet."
9,LS_mdr_gpt,https://www.mdr.de/nachrichten-leicht/leichte-sprache-sachsen-grossenhain-kleinflugzeug-absturz-lagerhalle-100.html,,,Die Polizei-Direktion von der Stadt Dresden hat gesagt:Ein kleines Flugzeug istgegen eine Mauer geflogen.Das Flugzeug ist dann abgestürzt.Und das Flugzeug hat gebrannt.Das war am Mittag vom Mittwoch.,Laut der Polizeidirektion der Stadt Dresden ist ein kleines Flugzeug gegen eine Mauer geflogen und abgestürzt. Dabei ist das Flugzeug in Brand geraten. Dies geschah am Mittag des Mittwochs.
