steps,fre,fkgl,wiener,avg_word_length,avg_sentence_length,words_per_sentence,avg_syllables_per_word,polysyllables,text
0,-2320.96,489.4,20.1,128.33,3.0,3.0,42.7,2,<|bos|>Dieses Haus <|eos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|><|bos|>
100,54.7,13.5,9.2,5.4,20.0,20.0,1.8,5,"<|bos|>Dieses Haus <|eos|>berichtet über die Geschichte der Stadt und berichtet von den Menschen, was sie in diesem Jahr erlebt haben.<|eos|>"
200,67.55,9.5,9.0,5.77,13.0,13.0,1.7,4,"<|bos|>Dieses Haus <|eos|> ist ein britischer Fernsehsender, der seit dem Jahr 2000 existiert.<|eos|>"
300,23.0,21.4,12.7,6.53,28.3,28.333333333333332,2.2,25,"<|bos|>Dieses Haus <|eos|>- und Messezentrum befindet sich in der Stadt Köln, einem Stadtteil von Düsseldorf. Die Firma Guggys hat ein großes Gebäude mit einer großen Halle für die Automobilindustrie gebaut: Das Autowerk EADS ist das größte Unternehmen Deutschlands im Bereich Halbleitertechnologie auf dem Gebiet des Hochtemperatursilars (HICC), um den Bedarf an hocheffizienter Produktionstechnik zu decken sowie neue Produktionsanlagen anzubauen oder produzieren lassen können.""Die Firmen haben bereits viele Projekte zur Herstellung neuer Autos umgesetzt - darunter auch zum Beispiel bei Lastwagen wie Truckswellenanteilen aus Metallguss ""Borging Brake"".<|eos|>"
400,61.7,10.7,9.0,5.35,13.0,13.0,1.8,6,"<|bos|>Dieses Haus <|eos|>öffnet am 1. September 2023 und ist eine bekannte Möbelfabrik in der Stadt Leipzig, die als ""Miethaus"" bekannt wurde (ein Begriff aus dem Englischen).<|eos|>"
500,75.4,7.6,5.9,5.45,11.0,11.0,1.6,2,<|bos|>Dieses Haus <|eos|> ist ein Beispiel für eine Wohn- und Geschäftshaus.<|eos|>
600,39.45,13.9,12.0,6.83,6.0,6.0,2.3,2,<|bos|>Dieses Haus <|eos|>sitzt in einer Parkanlage.<|eos|>
700,22.9,17.0,21.3,9.0,5.0,5.0,2.6,3,"<|bos|>Dieses Haus <|eos|>sagt ""Barrierefreie Wohnräume"".<|eos|>"
800,61.55,11.9,6.5,5.05,19.0,19.0,1.7,6,"<|bos|>Dieses Haus <|eos|> ist ein ehemaliges Hotel in der Stadt Leipzig. Es wurde im Jahr 1887 erbaut und befindet sich heute auf einem Grundstück von 100 Hektar, das vor dem Zweiten Weltkrieg lag (damals noch als Militärgelände genutzt).<|eos|>"
900,32.6,15.5,12.3,6.86,7.0,7.0,2.4,3,<|bos|>Dieses Haus <|eos|> ist ein ehemaliges Fabrikgebäude.<|eos|>
1000,32.6,15.5,12.3,6.86,7.0,7.0,2.4,3,<|bos|>Dieses Haus <|eos|> ist ein ehemaliges Fabrikgebäude.<|eos|>
