,Source,URL,Sents_Leicht,Sents_Standard,sents_leicht,sents_standard
0,LS_einfachstars_gpt7,/blog/16337-ein-mann-ist-eifersuechtig-auf-barack-obama.html,,,Barack Obama war bei einer Wahl. In Chicago hat er bei den Kongress-Wahlen abgestimmt.,Barack Obama attended an election in Chicago where he voted in the congressional elections.
1,LS_einfachstars_gpt7,/blog/16337-ein-mann-ist-eifersuechtig-auf-barack-obama.html,,,In einer elektronischen Wahl-Kabine.,He used an electronic voting booth.
2,LS_einfachstars_gpt7,/blog/16337-ein-mann-ist-eifersuechtig-auf-barack-obama.html,,,In der Kabine neben ihm stand eine junge Frau. Sie heißt Aia Cooper.,A young woman named Aia Cooper was in the booth next to him.
3,LS_einfachstars_gpt7,/blog/16337-ein-mann-ist-eifersuechtig-auf-barack-obama.html,,,Aia Cooper ist verlobt. Ihr Verlobter ist sehr eifersüchtig.,Aia Cooper is engaged and her fiancé is very jealous.
4,LS_einfachstars_gpt7,/blog/16337-ein-mann-ist-eifersuechtig-auf-barack-obama.html,,,"Er hat Barack Obama angemotzt. Er hat gesagt: ""Mr. President, fassen Sie meine Freundin nicht an!""","He shouted at Barack Obama, saying, ""Mr. President, don't touch my girlfriend!"""
5,LS_einfachstars_gpt7,/blog/16337-ein-mann-ist-eifersuechtig-auf-barack-obama.html,,,Barack Obama war überrascht. Er stand nicht nah bei Aia Cooper.,Barack Obama was surprised as he was not close to Aia Cooper.
6,LS_einfachstars_gpt7,/blog/16337-ein-mann-ist-eifersuechtig-auf-barack-obama.html,,,Es war ein Abstand zwischen den beiden Wahl-Kabinen.,There was a distance between their voting booths.
7,LS_einfachstars_gpt7,/blog/16337-ein-mann-ist-eifersuechtig-auf-barack-obama.html,,,"Er hat zu dem Mann gesagt: ""Ich hatte das eigentlich nicht geplant.""","He responded to the man, saying, ""I hadn't planned on it."""
8,LS_einfachstars_gpt7,/blog/16337-ein-mann-ist-eifersuechtig-auf-barack-obama.html,,,"Aia Cooper war das alles sehr peinlich. Sie hat swich beim Präsidenten entschuldigt. Sie hat gesagt: ""Ich war verlegen und einfach nur schockiert.""","Aia Cooper felt embarrassed and apologized to the President, saying that she was embarrassed and shocked."
9,LS_einfachstars_gpt7,/blog/16337-ein-mann-ist-eifersuechtig-auf-barack-obama.html,,,Barack Obama hat lässig reagiert. Er findet: Wenigstens kann sie jetzt eine gute Geschichte erzählen.,Barack Obama reacted with ease and believed that at least she could now tell a good story.
10,LS_einfachstars_gpt7,/blog/16337-ein-mann-ist-eifersuechtig-auf-barack-obama.html,,,"Er findet, sie soll erzählen: ""Ich kann nicht glauben, dass Mike so ein Idiot ist.","He suggested she tell the story as, ""I can't believe Mike is such an idiot."
11,LS_einfachstars_gpt7,/blog/16337-ein-mann-ist-eifersuechtig-auf-barack-obama.html,,,"Aber zum Glück sei der Präsident nett.""Am Ende hat Barack Obama sie umarmt. Und er hat sie auf die Wange geküsst. Er hofft: ""Jetzt ist Mike wirklich eifersüchtig!""","But luckily the President was nice."" In the end, Barack Obama hugged and kissed her on the cheek, hoping to make Mike even more jealous."
12,LS_einfachstars_gpt7,/blog/16337-ein-mann-ist-eifersuechtig-auf-barack-obama.html,,,"Aia Cooper sagt zu Michelle Obama: ""Auf die Wange, nur auf die Wange - bitte Michelle, verfolge mich nicht - es war nur auf die Wange.""Michelle ObamaIhr voller Name ist Michelle LaWaughn Robinson Obama. Sie ist die Ehe-Frau vom letzten amerikanischen Präsidenten.","Aia Cooper clarified to Michelle Obama that it was only a cheek kiss and requested her not to chase her. Michelle Obama, whose full name is Michelle LaVaughn Robinson Obama, is the wife of the former American President."
13,LS_einfachstars_gpt7,/blog/16337-ein-mann-ist-eifersuechtig-auf-barack-obama.html,,,In Amerika nennt man das „First Lady“. Übersetzt heißt das „Erste Frau“.,"In America, she is referred to as the ""First Lady."""
14,LS_einfachstars_gpt7,/blog/16337-ein-mann-ist-eifersuechtig-auf-barack-obama.html,,,"Sie war bis Januar 2017 ""First Lady"".Michelle Obama hat Jura studiert.",Michelle Obama studied law and is an attorney.
15,LS_einfachstars_gpt7,/blog/16337-ein-mann-ist-eifersuechtig-auf-barack-obama.html,,,Das heißt: Sie ist Anwältin.,
16,LS_einfachstars_gpt7,/blog/16337-ein-mann-ist-eifersuechtig-auf-barack-obama.html,,,Sie kennt sich mit Rechten und Gesetzen aus.Michelle Obama ist mit Barack Obama verheiratet. Zusammen haben sie 2 Kinder.,"She is married to Barack Obama, and together they have two children named Malia and Sasha."
17,LS_einfachstars_gpt7,/blog/16337-ein-mann-ist-eifersuechtig-auf-barack-obama.html,,,Sie heißen Malia und Natasha.Barack Obama hat seiner Frau in einem Restaurant einen Heirats-Antrag gemacht. Der Verlobungs-Ring war im Nachtisch versteckt.2017 wurde eine Spinne nach Michaelle Obama benannt.,Barack Obama proposed to Michelle Obama in a restaurant with an engagement ring hidden in a dessert.
18,LS_einfachstars_gpt7,/blog/16337-ein-mann-ist-eifersuechtig-auf-barack-obama.html,,,"Es ist eine Spinne, die auf Kuba lebt. Sie heißt jetzt Spintharus michelleobamaae.Michelle Obama hat in 2 amerikanischen Fernseh-Serien mit-gespielt.","In 2017, a spider living in Cuba was named after Michelle Obama, called Spintharus michelleobamaae."
19,LS_einfachstars_gpt7,/blog/16337-ein-mann-ist-eifersuechtig-auf-barack-obama.html,,,"In den Serien iCarly und Jessie. In beiden Serien hat sie sich selbst gespielt.Michelle Obama ist 1,80 Meter groß.2012 hat Michelle Obama ein Buch über gesunde Ernährung geschrieben.Barack ObamaEr ist Politiker.","Michelle Obama appeared in two American TV shows, iCarly and Jessie, playing herself. She is 1.80 meters tall and wrote a book on healthy eating in 2012."
20,LS_einfachstars_gpt7,/blog/16337-ein-mann-ist-eifersuechtig-auf-barack-obama.html,,,Er war der amerikanische Präsident. Das war in den Jahren 2009 bis 2017. Er gehört zur Demokratischen Partei in den USA.Bis jetzt war Barack Obama der jüngste Präsident der USA.,Barack Obama is a politician and served as the American President from 2009 to 2017. He belongs to the Democratic Party in the USA.
21,LS_einfachstars_gpt7,/blog/16337-ein-mann-ist-eifersuechtig-auf-barack-obama.html,,,Mit 55 Jahren wurde er zum Präsidenten gewählt.Vor seiner Arbeit als Präsident war Barack Obama Rechts-Anwalt.Barack Obama wurde auf Hawaii geboren.,"Barack Obama was the youngest president of the USA until now, being elected at the age of 55. Before being president, he worked as a lawyer."
22,LS_einfachstars_gpt7,/blog/16337-ein-mann-ist-eifersuechtig-auf-barack-obama.html,,,Sein Vater kommt aus Kenia. Seine Mutter kommt aus den USA.Barack Obama ist verheiratet.,"He was born in Hawaii, and his father is from Kenya while his mother is from the USA."
23,LS_einfachstars_gpt7,/blog/16337-ein-mann-ist-eifersuechtig-auf-barack-obama.html,,,Seine Frau heißt Michelle Obama . Zusammen haben Barack und Michelle Obama 2 Töchter.,"Barack Obama is married to Michelle Obama, and they have two daughters named Malia and Sasha."
24,LS_einfachstars_gpt7,/blog/16337-ein-mann-ist-eifersuechtig-auf-barack-obama.html,,,Sie heißen Malia und Natasha.Im Jahr 2009 hat Barack Obama den Friedens-Nobel-Preis bekommen. Der Grund ist: Er hat sich für den Frieden eingesetzt.,"In 2009, Barack Obama received the Nobel Peace Prize for his efforts in promoting peace and global cooperation among countries."
